id,created_at,text,length,source,favorites,RT
988099973022736385,2018-04-22 16:59:26,"b""India captain @M_Raj03 on the rapid development of women's cricket across the world \xf0\x9f\x99\x8c\n\nhttps://t.co/Dvzhg2YexL https://t.co/vSV5AnaUuf""",134,TweetDeck,462,35
988039718725210112,2018-04-22 13:00:00,"b""Happy birthday to Nepal's Shakti Gauchan!\n\nWatch him take a brilliant 3/9 against Hong Kong at #WT20 in 2014! https://t.co/3V9gl4laPF""",133,Media Studio,1259,230
987994421617614848,2018-04-22 10:00:00,"b""\xe2\x80\x9cKL looked like a million dollars, and well, Chris is Chris\xe2\x80\x9d\n\n@lionsdenkxip captain @ashwinravi99 can't get enough\xe2\x80\xa6 https://t.co/dMjAZxINfW""",139,TweetDeck,1025,55
987979327559086081,2018-04-22 09:00:02,"b'6,792 international runs\nJoint fastest to 1,000 ODI runs\nICC Cricketer of the Year 2011\n\nHappy birthday to former E\xe2\x80\xa6 https://t.co/tXNe2Kwtlg'",140,TweetDeck,873,52
987964227443970048,2018-04-22 08:00:01,"b'""The team is inexperienced, but we are trying to give it confidence.\xe2\x80\x9d\n\nSarfraz Ahmed gung-ho about Pakistan\'s chanc\xe2\x80\xa6 https://t.co/2laKU27NG9'",140,TweetDeck,836,55
987959656940294144,2018-04-22 07:41:52,b'RT @ICCAcademy: The #ICCAcademy welcomed @CricketBermuda on Saturday for what was the beginning of 3 days of training and practice matches\xe2\x80\xa6',139,TweetDeck,0,11
987949124778647552,2018-04-22 07:00:01,b'Happy 52nd birthday to ICC Elite Umpire Sundaram Ravi! https://t.co/aJviZZTVfU',78,TweetDeck,1395,60
987934005948571649,2018-04-22 05:59:56,"b'AB IS BACK!\n\n""Some of the nights you see the ball well"" - and what a night it was! \n\n@ABdeVilliers17\'s thoughts on\xe2\x80\xa6 https://t.co/p5BItuJzUo'",139,Twitter Web Client,3487,300
987918923881504768,2018-04-22 05:00:00,"b""Happy birthday to Ranjan Madugalle! \n\nThe top scorer in Sri Lanka's maiden Test innings, he has since become the mo\xe2\x80\xa6 https://t.co/pZTrkL1jYn""",140,TweetDeck,736,59
987888727698690049,2018-04-22 03:00:01,"b""He took Nepal's first ever international hat-trick and scored their second ever century - happy 34th birthday to al\xe2\x80\xa6 https://t.co/BEj5UrqLk1""",140,TweetDeck,4748,658
987858529095741445,2018-04-22 01:00:01,"b""Happy 19th birthday to New Zealand U19s star Finn Allen!\n\nHe started this year's #U19CWC with a bang, with a match-\xe2\x80\xa6 https://t.co/LJvAnpOxp5""",140,Media Studio,903,48
987767931378352128,2018-04-21 19:00:01,b'Ghana beat Nigeria to finish top of the table at #WT20 Africa Qualifier A!\n\nREAD \xe2\x9e\xa1\xef\xb8\x8f https://t.co/IpwaHlub4c https://t.co/9bNAnc6fgs',131,TweetDeck,618,29
987738073000800258,2018-04-21 17:01:22,"b""Her ability to put it on a postage stamp time and again has made her one of India Women's greatest-ever cricketers.\xe2\x80\xa6 https://t.co/rxlj8lZPW3""",140,TweetDeck,1511,111
987632032388976640,2018-04-21 10:00:00,"b""Pakistan have picked five uncapped players in their Test squad for England and Ireland. \n\nHere's how\xe2\x80\xa6 https://t.co/PNvULTAkQF""",125,TweetDeck,868,63
